patent_id,title,inventor_name,company_name,year
US10000001A,Semiconductor device and method,Shunpei Yamazaki,Samsung Electronics Co. Ltd.,2024
US10000002A,Image forming apparatus,Kia Silverbrook,Canon Kabushiki Kaisha,2023
US10000003A,Quantum computing system,Lowell L. Wood Jr.,International Business Machines Corporation,2024
US10000004A,Artificial intelligence processor,Roderic A. Hyde,Microsoft Technology Licensing LLC,2024
US10000005A,Printing system,Paul Lapstun,HP Inc.,2023
US10000006A,Memory device,Gurtej Singh Sandhu,Intel Corporation,2024
US10000007A,Display panel,Jun Koyama,LG Electronics Inc.,2023
US10000008A,Semiconductor structure,Leonard Forbes,Micron Technology Inc.,2022
US10000009A,Floral packaging,Donald E. Weder,Weder Family Trust,2023
US100000010A,FinFET transistor,Kangguo Cheng,International Business Machines Corporation,2024
